## What the update is about, in words.
##
## Written by hand on 2026-09-01 from the official patch notes, because no
## amount of reading the client tells you why anything was added. Everything
## else on the What's New page is generated by comparing two clients; this
## file is the one part of it that is editorial, and it is dated and signed
## for exactly that reason.
##
## Format: one fact per line, kind|text. A "part" opens a section and every
## "point" after it belongs to that section until the next one.

title|Month of the Mad God
point|A new mission tree, The Forgotten Legacy, runs the whole event: missions for the Mystic set, for the legacy dungeons, for each new encounter's white, and for the emotes.
point|A free campaign, Relics of the Past, runs five weeks. Forgotten Relics are scattered through the realm and its dungeons; right-click them in your inventory. Thirty stack to a slot.
point|Retrowinds tokens now come only from missions — no longer from dungeons or the Battle Pass — and missions pay more of them to compensate. Twenty of a kind buy a Selection Chest.
point|Six new emotes are mission rewards: Dancing Cubes, Load of Barnacles, Goofy Slop, Stygian Hand Mirror, Puzzled Deity, Very Cold Soul.
point|Celestial quests refresh weekly, and the season 3 to 6 quests are gone. Sixty Celestial Stones buy the new Wizard skin.

part|Battle Pass — The Old Ways
point|Runs 1 September to 6 October. New skins for the Bard and the Knight.
point|Three old collections can be finished at last, each gaining its Druid: Antinomy, Syndicate Henchman, Kingdom.

part|Weekly rotation
point|Week 1 — Crawling Depths and Ice Citadel, then Battle for the Nexus.
point|Week 2 — Woodland Labyrinth and The Shatters, then Mad God Mayhem.
point|Week 3 — Deadwater Docks and Lost Halls, then Trials of Cronus.
point|Week 4 — Parasite Chamber and Kogbold Steamwork, then Hidden Interregnum.
point|Week 5 — Lair of Shaitan and Moonlight Village, then Hidden Interregnum, and Oryx's Sanctuary on loot and XP boost.
point|Breaking the event chest opens the special dungeon 33% of the time in Adept dungeons, 66% in Veteran, always in Expert.
point|Oryx's Sanctuary stands open from 29 September.

part|Changed, not added
point|The Crucible was rebuilt after the season's feedback: +10 DEF, +5 ATT, +5 DEX; shots over 15 damage carry a 30% chance of Exposed for 3 seconds on a 4 second cooldown; +20% loot, +15% BXP, +20% XP.
point|Trials of Cronus is a boss rush now — minion waves gone, two bosses to choose from each round instead of three, and every boss given a balance pass. It expects 6/8.
point|Round order — Sandstone Titan or Fountain Spirit, Ruthven or Corruption Phantom, Davy Jones or Thessal, Heroic Septavius or Infernal Malphas, then the Perfected Cube God.
point|Retrowinds gear drops at guaranteed Rare rarity. The weapon engraving calls lightning for 500 on player shoot and adds dexterity worth 9% of bonus speed; the armour grants 9 dexterity for 9 seconds when hit, on an 18 second cooldown, and +3 defense.
point|Thirteen biome shinies: Adventurer's Scarf, Torrential Staff, Celestial Recurve, Mace of the Pumpkin Effigy, Pirate's Artillery, Skull of Restless Souls, Doom's Emblem, Cavalry Lance, Cloak of the Deep, Evolutionary Records, Pollen Incendiary, Bloodbath Blade, Runes of Knowledge.

part|Leaderboards
point|Two boards for the Time Chamber: one for completions and tenacity, one for speed. The twelve legacy dungeons award points by how fast you clear them and how hard they are.
point|Weeks 1 to 3 pay a Collection Chest and utility items at the top 30%, dust and quest chests at 15%, stat candy at 5%.
point|Week 4 adds sulphur at 15% and the Decades Chronicle at 5%. Week 5 pays a Season Vault Unlocker and a Seasonal Apple at 5%, after the season closes.
point|One skin a week for weeks 1 to 4, all four needed for the Master of All Elements quest: Air Elemental Paladin, Earth Elemental Knight, Water Elemental Summoner, Fire Elemental Sorcerer.
